L 12/05/2021 - 18:50:41: Log file started (file "czero\addons\amxmodx\logs\ZombiePlague_20211205.log") (game "czero") (amx "1.9.0.5263")
L 12/05/2021 - 18:50:41: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - DRON12261 turned into a Zombie (Players: 16)
L 12/05/2021 - 19:20:37: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Nemesis Mode (Players: 15)
L 12/05/2021 - 19:20:48: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 15)
L 12/05/2021 - 19:30:25: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 16)
L 12/05/2021 - 19:32:51: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 15)
L 12/05/2021 - 19:46:12: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 15)
L 12/05/2021 - 19:48:50: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 15)
L 12/05/2021 - 21:04:55: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 16)
L 12/05/2021 - 21:09:17: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 16)
L 12/05/2021 - 21:12:01: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 16)
L 12/05/2021 - 21:13:10: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 16)
L 12/05/2021 - 21:33:07: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 16)
L 12/05/2021 - 21:35:31: ADMIN DRON12261 <STEAM_ID_LAN><loopback> - start Game Mode: Survivor Mode (Players: 16)
